Income,Age,LoanAmount,DebtRatio,CreditHistory,MissedPayments,EmploymentYears,ExistingLoans,Creditworthy
149313,44,26210,0.47,7,1,13,5,1
138632,62,37306,0.75,9,2,17,4,1
134144,57,16466,0.66,4,7,30,5,1
111698,62,49367,0.28,6,7,18,4,1
94915,41,4185,0.72,7,7,14,4,0
49470,64,25858,0.76,2,7,27,1,0
69499,58,10623,0.17,8,5,9,5,1
66109,30,35747,0.28,8,4,6,2,1
107388,38,34964,0.84,8,7,30,1,1
120739,30,20068,0.24,6,1,2,2,1
110788,27,19333,0.49,2,0,7,5,1
138684,51,26101,0.39,2,4,19,5,1
22905,62,35632,0.64,9,7,12,5,0
67508,47,7244,0.45,8,5,3,4,0
132200,53,33685,0.84,4,1,25,5,1
134803,35,36524,0.43,2,6,22,0,1
144930,31,29631,0.17,8,1,1,1,1
56005,42,3852,0.72,5,1,21,0,1
111827,28,1296,0.77,9,5,18,4,1
119280,37,17883,0.83,4,8,29,3,1
79407,24,38109,0.51,5,4,22,0,1
36425,57,7111,0.31,4,4,24,1,1
141596,56,14214,0.51,6,4,19,4,1
105110,54,10310,0.19,0,5,2,2,0
20204,30,24340,0.67,10,2,21,5,1
93751,48,7817,0.21,1,7,8,5,0
55927,31,31940,0.73,8,5,27,4,1
72356,61,21505,0.64,4,0,3,5,0
26736,35,39484,0.65,3,5,13,2,0
21239,25,43763,0.64,6,3,5,2,0
51421,35,44883,0.12,4,3,2,1,0
65776,36,2994,0.17,5,6,9,3,0
76593,41,31076,0.39,1,7,8,3,0
68958,31,2868,0.31,2,3,8,4,0
127847,48,22625,0.16,6,2,29,1,1
141153,37,8617,0.6,4,1,13,3,1
49812,63,47130,0.66,3,8,14,0,0
32792,59,40171,0.36,5,8,2,1,0
34230,38,24912,0.1,10,4,11,4,1
146704,36,43237,0.7,0,1,26,2,1
105876,49,3714,0.49,7,7,13,1,1
40704,53,19303,0.47,3,1,1,3,0
61994,33,45362,0.88,10,7,4,2,0
97046,61,49947,0.31,9,3,20,4,1
96609,56,30021,0.39,1,1,29,4,1
82643,42,49652,0.29,6,5,9,3,0
71537,31,3590,0.64,3,2,21,5,1
24817,38,23005,0.32,9,3,8,0,1
65147,49,27868,0.44,5,0,1,3,1
66447,37,6390,0.3,5,3,0,2,0
77571,31,13570,0.37,6,7,30,0,1
90585,31,19522,0.67,9,0,28,4,1
149267,38,45835,0.5,10,1,29,5,1
74871,51,38210,0.49,9,5,14,1,1
27641,41,8350,0.33,10,6,30,3,1
106569,26,15934,0.47,6,1,10,2,1
31620,60,1012,0.54,7,4,22,1,1
42336,62,24325,0.77,4,4,26,1,1
82701,25,26862,0.23,9,1,14,5,1
20651,26,38847,0.88,1,4,2,5,0
34621,63,39527,0.83,4,8,5,4,0
95329,63,46871,0.69,10,7,15,2,1
142453,32,13857,0.35,7,5,22,4,1
37394,50,13752,0.64,10,0,19,5,1
79938,39,27441,0.26,0,7,15,4,0
59274,57,4368,0.27,0,2,29,0,1
139848,21,24919,0.86,9,3,27,4,1
68453,52,7498,0.71,7,1,30,2,1
54486,41,3715,0.54,10,6,20,0,1
34192,61,6902,0.51,10,5,0,4,0
25541,63,14917,0.43,0,2,27,0,1
103086,49,1709,0.87,1,6,21,4,0
70119,58,36355,0.83,3,8,21,2,0
113833,47,35355,0.22,4,6,7,5,0
131166,34,49035,0.8,10,1,6,0,1
144944,36,1121,0.19,7,6,11,5,1
39302,62,21260,0.21,4,2,7,2,0
105134,52,29732,0.3,2,8,23,1,0
109135,57,32863,0.85,9,1,1,0,1
114133,36,12579,0.21,10,0,14,4,1
43937,42,22354,0.73,10,0,27,5,1
114585,40,30526,0.35,10,6,10,0,1
116560,45,8907,0.55,7,0,27,3,1
118431,59,27675,0.79,10,7,19,4,1
56393,61,24589,0.84,4,2,1,4,0
31643,64,34717,0.48,0,3,30,0,1
54190,39,35104,0.62,2,7,12,5,0
61918,55,10357,0.13,4,5,15,5,0
100717,34,10498,0.66,2,2,18,3,1
97476,46,13799,0.75,2,4,3,2,0
34175,33,36306,0.7,8,6,29,3,1
32096,63,35373,0.39,6,2,26,1,1
84934,51,20427,0.27,5,4,0,2,0
28407,39,5533,0.49,7,3,3,2,0
31687,51,22753,0.74,8,4,15,2,1
30324,23,40888,0.47,7,5,27,5,1
94413,37,33659,0.39,1,5,29,5,1
130060,30,3802,0.21,10,1,22,5,1
72424,38,46186,0.63,2,7,27,0,1
108448,65,9705,0.89,1,6,19,5,0
98430,26,32228,0.24,9,8,23,5,1
112919,46,24205,0.2,1,0,28,1,1
94142,64,20464,0.88,5,2,15,4,1
103293,53,31829,0.63,1,2,10,4,0
20113,43,23615,0.16,4,2,16,0,1
29961,56,36510,0.47,6,8,2,5,0
125611,58,29085,0.18,4,6,16,0,1
122088,44,28769,0.55,7,5,23,0,1
44335,51,2607,0.45,0,3,2,5,0
128028,52,4257,0.25,9,3,28,0,1
68634,44,35316,0.83,6,6,24,0,1
130146,63,25810,0.56,9,0,4,2,1
32755,24,3920,0.8,4,0,2,3,0
141348,65,41192,0.37,10,5,12,0,1
139327,60,19752,0.29,5,8,10,2,0
140007,26,13717,0.2,6,3,6,5,1
80017,36,24594,0.75,10,6,27,4,1
50426,53,24240,0.36,2,5,14,2,0
62240,21,4127,0.85,5,2,14,5,1
94476,27,9622,0.23,4,2,1,0,1
141773,46,25097,0.88,7,5,12,1,1
35412,61,29045,0.21,5,1,12,2,1
88873,37,6195,0.85,2,3,15,0,1
75274,32,46093,0.18,3,7,10,3,0
54381,52,25452,0.72,8,0,3,0,1
80467,63,11116,0.72,1,5,4,3,0
67332,41,27934,0.43,7,3,7,1,1
47795,44,43576,0.9,6,4,1,2,0
138275,31,31361,0.21,8,4,1,5,1
94332,44,41963,0.39,7,8,15,1,0
42549,37,1228,0.64,6,1,13,5,1
144787,56,45789,0.78,1,4,8,2,0
138081,43,38844,0.56,8,8,23,2,1
90585,62,23891,0.35,2,2,3,4,0
28342,63,27397,0.21,6,1,11,3,1
126549,56,29228,0.43,5,0,6,0,1
89712,50,18167,0.62,4,3,27,4,1
24235,59,9951,0.26,2,2,15,3,0
30481,40,28851,0.15,5,5,21,5,1
93741,23,5713,0.7,10,0,12,2,1
122189,46,3033,0.56,1,5,10,0,0
72597,54,21094,0.16,8,4,19,4,1
128096,22,8014,0.52,2,2,9,4,1
64216,32,2222,0.59,3,5,26,0,1
30753,49,38087,0.23,9,8,22,0,1
38102,52,16620,0.11,1,0,30,5,1
78544,41,30821,0.57,3,5,14,1,0
129026,59,29479,0.7,0,2,14,1,1
25648,58,43035,0.28,3,1,17,4,1
51410,36,48204,0.61,9,5,28,0,1
145176,62,20256,0.41,2,3,6,0,1
47736,32,19164,0.17,1,7,6,5,0
21333,44,46399,0.41,1,3,4,4,0
72341,38,15891,0.55,10,1,12,0,1
75503,52,25534,0.18,3,2,29,4,1
143624,43,25501,0.45,0,5,3,0,0
25536,39,34828,0.79,2,3,22,5,0
70468,29,3363,0.27,5,3,30,4,1
42160,64,24349,0.37,0,1,14,3,0
65104,62,18488,0.24,3,4,0,0,0
109592,54,35626,0.21,6,6,26,1,1
110877,29,48679,0.6,9,6,11,2,1
96388,26,18718,0.8,2,4,13,5,0
146229,22,37101,0.2,10,6,13,0,1
60800,51,44974,0.78,2,7,13,4,0
90271,37,23055,0.89,9,6,11,3,0
131587,61,4089,0.45,8,0,14,4,1
29945,51,18996,0.45,5,0,1,3,0
78963,50,34992,0.51,2,8,9,3,0
127927,37,15076,0.46,6,4,22,5,1
49960,42,24517,0.71,6,8,25,2,0
39013,28,28649,0.29,1,5,3,0,0
66835,32,26021,0.3,4,7,5,0,0
140964,57,4552,0.88,8,3,21,0,1
137378,40,46981,0.57,8,5,13,0,1
148686,47,11532,0.34,1,7,1,2,0
65319,26,40666,0.6,8,0,14,3,1
131236,53,24605,0.79,0,5,27,2,1
47383,56,12973,0.4,3,0,11,1,1
56787,21,8028,0.9,5,2,6,3,0
53637,54,10872,0.31,8,8,1,2,0
65093,54,36349,0.54,8,1,26,4,1
117620,65,34869,0.38,4,6,4,0,0
145802,40,14950,0.46,10,3,25,2,1
23720,52,49324,0.56,9,4,28,5,1
101374,53,37545,0.72,6,1,10,0,1
133282,55,8142,0.2,6,8,12,2,0
106409,34,5272,0.2,4,2,12,4,1
134060,48,34370,0.45,9,7,2,2,0
32331,47,33707,0.84,5,3,13,1,0
109636,53,37524,0.37,0,1,8,1,1
147152,24,43707,0.12,9,7,22,3,1
93712,22,28632,0.28,2,6,20,2,1
47628,28,5547,0.17,10,6,8,4,0
42773,41,3055,0.45,4,3,0,3,0
135644,60,28645,0.73,2,4,8,0,0
90257,63,36769,0.14,2,5,1,3,0
51857,37,27366,0.13,9,3,14,0,1
112507,65,21116,0.36,0,8,0,2,0
52539,50,43651,0.16,6,4,29,0,1
63967,24,38427,0.33,6,7,9,1,0
37981,28,28075,0.28,6,6,30,0,1
125249,48,33223,0.24,7,3,12,5,1
26794,45,11405,0.5,5,2,28,3,1
96619,36,39000,0.67,5,7,30,3,1
90680,47,3672,0.15,10,2,8,1,1
20940,45,36151,0.14,5,4,16,5,0
49453,37,48808,0.19,9,0,18,4,1
77337,29,8413,0.25,3,4,12,1,1
53675,60,19253,0.79,7,3,30,4,1
30695,45,17437,0.75,1,1,23,0,1
22530,36,28283,0.16,9,2,27,4,1
89977,39,3195,0.58,7,2,22,0,1
33791,40,7083,0.12,2,7,27,1,1
37207,32,6672,0.35,3,3,1,4,0
40446,24,45064,0.67,10,8,11,5,0
72748,53,37727,0.85,0,7,10,5,0
26631,52,26049,0.38,9,8,26,5,1
110576,39,34975,0.64,4,6,23,0,1
131800,61,23006,0.75,4,4,10,5,0
114154,33,22320,0.57,10,3,20,5,1
123873,48,26390,0.59,7,5,8,5,0
63337,21,9421,0.86,2,8,30,2,0
77099,24,47785,0.8,1,4,22,1,1
116983,26,22703,0.31,7,4,29,1,1
115920,41,19574,0.48,7,2,21,4,1
105463,33,20255,0.41,7,0,18,3,1
105428,50,6359,0.81,4,0,1,2,0
115183,47,8232,0.11,5,5,10,0,1
80555,24,48310,0.73,7,2,26,0,1
28844,37,17966,0.35,9,6,13,0,1
75852,38,44106,0.51,3,8,7,5,0
22765,59,44141,0.29,2,0,3,5,0
31666,61,16055,0.42,6,6,12,0,0
67414,51,29970,0.79,7,5,3,5,0
61720,40,6556,0.32,2,7,7,2,0
117143,64,35810,0.47,6,3,28,5,1
62213,43,7564,0.27,6,3,15,5,1
66913,24,39907,0.63,6,2,10,2,1
38320,64,33176,0.11,3,0,21,0,1
98504,56,34410,0.78,7,1,27,1,1
57167,30,5699,0.49,8,7,13,1,0
104920,48,23060,0.29,9,3,5,5,1
116633,22,49149,0.11,1,5,16,4,0
35387,24,30449,0.35,0,6,6,0,0
41182,22,26066,0.57,0,4,11,5,0
133658,36,2055,0.49,9,1,20,4,1
51215,48,37215,0.51,9,3,23,5,1
48494,34,26453,0.36,8,1,26,2,1
67810,62,45679,0.54,10,0,3,5,1
24896,33,31470,0.34,6,7,12,1,0
79910,37,28626,0.24,9,8,24,1,1
33102,53,31131,0.17,7,6,26,4,1
47304,54,9800,0.72,0,6,0,4,0
149909,22,41178,0.56,5,7,7,4,0
60371,30,34029,0.48,5,0,21,2,1
30731,23,47828,0.28,5,7,10,2,0
137266,24,1325,0.52,3,4,26,0,1
66309,63,7763,0.8,1,3,13,5,0
24730,57,11952,0.28,0,2,15,1,0
52396,55,14206,0.26,3,7,20,3,0
103898,64,25493,0.35,7,3,5,0,1
51958,35,23282,0.86,0,3,18,4,0
100307,53,1845,0.23,5,7,6,3,0
148875,48,11370,0.27,1,8,8,3,0
68206,62,45526,0.6,7,7,16,0,0
84137,63,44376,0.57,8,1,14,5,1
91583,29,13201,0.63,5,3,8,3,0
132035,46,6974,0.81,5,0,27,5,1
73746,45,11379,0.83,4,1,23,0,1
121651,24,12501,0.67,4,8,2,0,0
147754,31,49247,0.21,4,0,6,5,1
42240,21,3395,0.51,1,8,9,5,0
115807,48,43334,0.42,1,3,18,2,1
52202,27,46594,0.2,6,1,1,2,1
31158,58,16913,0.72,0,0,28,0,1
55690,29,14541,0.63,7,0,2,5,1
59957,39,4693,0.29,10,7,0,5,0
33105,52,17365,0.35,6,2,5,5,0
37059,22,30057,0.2,5,0,30,5,1
112413,43,45436,0.57,8,4,8,2,1
44082,52,15553,0.71,2,8,16,5,0
57720,33,13267,0.13,2,3,3,3,0
29771,30,44179,0.27,7,2,23,0,1
101924,41,22302,0.6,1,0,27,3,1
96798,21,47525,0.16,4,3,11,0,1
82376,35,13863,0.58,9,7,16,3,1
129327,44,17891,0.16,10,2,15,3,1
147350,57,29204,0.18,6,2,28,3,1
31359,38,20411,0.68,2,4,25,0,1
70191,40,37945,0.56,4,1,16,2,1
102978,54,4118,0.11,7,8,26,2,1
61648,46,23585,0.18,1,3,8,3,0
41849,46,46498,0.19,6,8,3,5,0
88245,26,40168,0.56,6,6,18,4,1
142633,28,25430,0.89,9,2,5,1,1
144873,21,25381,0.32,0,5,5,1,0
94312,57,48157,0.12,7,8,10,3,0
76810,49,47077,0.55,3,3,15,2,1
60541,63,48098,0.55,3,6,27,5,1
103315,44,9333,0.44,4,6,3,0,0
77803,28,41486,0.73,7,0,10,3,1
103047,50,31188,0.77,1,6,0,1,0
67567,45,44947,0.6,6,6,14,2,0
139700,41,11626,0.81,10,7,3,0,0
27542,24,43161,0.8,0,4,6,0,0
112982,38,4782,0.72,2,4,29,4,1
133701,65,8668,0.51,10,0,28,2,1
81869,36,35265,0.53,9,3,19,2,1
32531,37,7140,0.58,7,0,27,4,1
83525,64,20282,0.21,3,3,26,4,1
94603,42,2445,0.29,0,8,3,2,0
48858,25,3150,0.75,1,2,5,0,0
38600,52,25568,0.81,7,5,4,0,0
75181,28,3605,0.4,2,6,21,4,0
130134,51,7417,0.11,5,3,8,3,1
135039,44,25389,0.1,5,3,5,4,1
146531,38,46359,0.45,2,2,14,1,1
149841,40,4483,0.75,1,2,3,3,0
91249,62,43160,0.49,8,1,7,1,1
30544,55,22900,0.13,10,1,23,0,1
32409,56,18520,0.26,5,3,30,3,1
44902,49,7124,0.42,1,8,6,2,0
43833,42,15853,0.27,5,2,8,5,0
79691,60,8052,0.78,1,5,13,0,0
126554,55,25803,0.59,10,3,29,0,1
141859,36,12281,0.85,7,3,11,3,1
45535,29,19754,0.82,3,4,13,2,0
114906,40,12109,0.66,5,0,10,0,1
133832,25,1818,0.8,6,0,17,2,1
126837,58,16924,0.68,8,8,26,0,1
33214,31,30131,0.75,2,2,25,1,1
145196,46,49980,0.37,8,7,2,4,0
49633,44,2672,0.7,3,2,21,4,1
30873,64,48756,0.83,6,1,7,2,0
45425,45,7057,0.33,0,0,0,2,0
99320,28,42957,0.23,1,1,10,1,1
21872,22,49302,0.34,8,7,6,5,0
67030,36,45709,0.42,4,7,20,2,0
100794,39,17417,0.73,2,4,3,5,0
73501,30,14246,0.38,3,1,28,1,1
126357,62,38558,0.48,1,0,3,5,0
104692,43,38391,0.54,1,4,7,1,0
30648,65,48557,0.36,4,0,15,4,1
45076,21,46906,0.87,1,7,5,2,0
113551,42,34991,0.46,8,2,28,2,1
57402,43,39267,0.41,0,1,14,4,0
115173,63,40180,0.64,10,7,14,5,1
84343,52,14306,0.73,5,4,28,2,1
115211,63,30356,0.39,0,0,10,2,1
106628,65,29493,0.47,6,6,11,5,0
141433,50,5364,0.15,4,3,17,2,1
105442,24,22745,0.28,1,3,26,3,1
141796,22,29568,0.26,9,7,3,2,0
41506,56,28459,0.51,0,7,10,0,0
36067,26,26303,0.37,9,8,17,1,0
37383,39,7310,0.52,10,8,3,3,0
64260,42,2000,0.75,3,6,27,1,1
52301,63,13806,0.52,4,1,22,2,1
54538,42,15748,0.67,8,6,18,2,1
66900,36,29199,0.68,10,2,22,1,1
143350,42,1296,0.65,2,5,4,3,0
80948,26,25477,0.38,1,8,15,0,0
103672,28,11517,0.44,4,7,21,3,1
24033,33,22661,0.27,2,7,30,3,0
76029,43,7869,0.27,9,7,10,1,1
91243,61,29427,0.7,5,4,2,5,0
22421,28,40865,0.49,10,4,16,4,1
87708,65,12630,0.7,0,0,4,5,0
110150,33,34163,0.4,2,2,29,1,1
68216,50,13026,0.33,3,7,30,3,1
94626,37,34688,0.21,5,1,12,5,1
32348,44,21519,0.22,7,5,5,1,0
27647,24,3426,0.68,4,8,10,1,0
58465,44,34663,0.73,10,4,20,4,1
121211,26,31792,0.74,8,0,29,2,1
58191,47,22229,0.47,2,8,14,4,0
139869,24,37443,0.28,8,8,18,5,1
144675,29,47870,0.56,2,0,14,3,1
148026,36,44509,0.33,2,5,18,1,1
140523,37,9756,0.13,9,6,15,2,1
30239,23,1777,0.49,4,4,24,3,1
35638,46,20748,0.33,0,1,6,5,0
112640,44,11257,0.6,9,6,21,3,1
62054,31,27581,0.14,4,7,2,0,0
115863,36,17875,0.41,10,0,14,3,1
92935,59,2359,0.6,9,1,11,4,1
93164,35,39558,0.42,2,0,28,5,1
53830,52,43333,0.28,1,4,1,2,0
102410,43,3156,0.25,6,3,25,2,1
41042,21,22925,0.57,8,2,9,5,1
124160,59,45333,0.86,5,7,2,1,0
149524,29,49152,0.24,4,0,17,0,1
82903,49,48417,0.65,8,7,28,5,1
91746,58,18432,0.51,7,8,25,1,1
31604,59,38256,0.82,9,7,26,3,1
119582,61,6027,0.3,0,7,15,1,0
57346,65,14456,0.6,1,5,13,2,0
123889,43,27196,0.45,0,8,10,5,0
131730,35,2464,0.53,2,8,1,3,0
95958,58,37770,0.1,2,8,20,5,0
121684,57,12027,0.63,3,3,10,2,1
63048,29,20608,0.37,2,5,14,2,0
24814,58,7604,0.79,5,7,26,5,0
79112,32,16776,0.6,0,3,0,2,0
20469,22,18422,0.21,6,6,7,5,0
127358,63,12916,0.68,1,2,23,3,1
110012,49,1573,0.26,0,8,21,1,0
21084,21,25770,0.57,5,1,25,5,1
129046,50,12173,0.49,1,1,3,4,0
131710,28,32917,0.28,10,3,14,1,1
43109,65,10048,0.5,5,2,18,0,1
43537,28,31858,0.32,0,5,6,4,0
67257,64,16664,0.19,5,1,27,1,1
84818,52,4827,0.51,4,5,29,2,1
113858,31,23429,0.82,10,5,3,3,0
84032,32,18786,0.45,3,4,8,2,0
81842,60,13484,0.68,8,6,27,3,1
91717,31,26425,0.67,0,0,30,5,1
146214,43,11280,0.67,1,5,12,5,0
146154,31,26373,0.19,7,6,5,1,1
81569,64,42864,0.16,6,7,6,1,0
66479,44,40995,0.35,1,6,27,5,0
21971,33,28253,0.62,6,4,20,2,1
28647,35,47039,0.1,6,0,11,1,1
100615,50,12641,0.44,8,6,6,4,0
79344,30,13994,0.79,7,5,5,1,0
98490,45,15679,0.12,3,4,25,2,1
67059,60,36929,0.77,4,5,7,1,0
145661,25,3398,0.33,5,1,5,0,1
136599,42,15319,0.79,9,4,8,5,1
22489,50,32141,0.24,10,6,9,4,0
112732,58,27712,0.49,2,5,15,5,0
68275,27,32085,0.6,10,2,9,1,1
113513,31,9767,0.49,10,5,23,5,1
47489,28,34990,0.27,2,0,8,4,1
73914,43,19815,0.24,5,6,16,0,1
64608,44,21261,0.18,8,3,27,3,1
118146,21,5137,0.27,6,6,8,3,0
52648,55,29686,0.49,9,5,30,4,1
97074,42,38537,0.3,1,1,0,1,0
43183,50,40898,0.24,5,8,13,4,0
102680,28,6703,0.36,9,7,28,0,1
37751,32,6011,0.71,8,8,2,2,0
95518,34,39274,0.11,1,5,8,0,0
84580,28,10051,0.13,4,6,11,1,0
41778,21,11992,0.45,7,6,20,3,1
110695,35,35497,0.24,10,3,26,5,1
70898,41,40243,0.31,7,3,14,4,1
43780,39,6813,0.67,1,0,12,2,0
123726,22,46997,0.82,10,1,1,5,1
112682,39,2880,0.38,10,6,9,4,1
87083,63,28901,0.87,9,1,18,2,1
145617,65,49024,0.22,8,2,20,4,1
